"sguid","TableCat","orig","region","hincomex2","agex2","statex","state2","rake_wt"
"0ab3e7e57ea459abd0a49afdf9117e2a",1,1,1,3,3,"GL","IN",0.598068803420894
"0ab562476045a73acf03171f81f1e962",1,1,3,2,3,"NP","KS",0.603046884503122
"0b70216049c984481ad6975046a4ca70",1,1,6,1,1,"WE","CA",1.24929606434222
"0b73450be0c657d937ca2c16dc0279a6",1,1,2,2,3,"NE","NY",0.562385239355018
"0b84fb8a04a082b1103011301190dcb1",1,1,3,1,3,"NP","MN",0.182404565731789
"0b85d77f45a9930f0cfd58f508527dd5",1,1,2,3,3,"NE","MD",0.516389221611446
"0b87691c866c9d73ee099f61347d32ee",1,1,2,3,3,"NE","NH",0.516389221611446
"0b8d3e45eacffa37bbfb8a930b1eb70e",1,1,6,1,2,"","",0.428762258926534
"0b9aee10c2ee25d585341cf78eed6aa5",1,1,2,3,2,"NE","NY",1.34053682141569
"0c5dd508899f5e22aaaa13626057b361",1,1,6,3,3,"WE","OR",0.501387612935374
"0c830b7d82d8014584f95c1a0f98947e",1,1,1,2,3,"GL","OH",0.651340216035163
"0ca547963fa409342898dab85cabb363",1,1,3,2,3,"NP","NE",0.603046884503122
"0cb9386443ad85f14c938b422d2185bb",1,1,6,2,3,"WE","OR",0.54604740166802
"0cc3483f5da7e35811c7cdcb58813608",1,1,6,3,3,"WE","ID",0.501387612935374
"0ccb75f325ba656cf76c242be0fd82f5",1,1,2,2,3,"NE","MD",0.562385239355018
"0cd709ac645c3b2b1a624e184bb4e2f7",1,1,2,2,3,"NE","PA",0.562385239355018
"0cdb1506c47c06e92766c7ec404c99d9",1,1,2,2,3,"NE","PA",0.562385239355018
"0cdf70a53a4f110c9309a0c38ef1183e",1,1,4,2,2,"SC","TX",2.76059464138596
"0d00913700277f21e2add0b447bdaf48",1,1,5,1,3,"SE","FL",0.245182373606338
"0d1fcf82375c956e9225f9113fb3804c",1,1,6,1,3,"WE","AZ",0.165163840042542
"0d2ecc257e86cfdbfc82c0c5060780ef",1,1,6,1,3,"WE","CA",0.165163840042542
"0d491adb43d7b9f450da0ee003ba4515",1,1,5,1,3,"SE","NC",0.245182373606338
"0d5de8341854385e0f241f84b396682d",1,1,5,3,2,"SE","NC",1.93218831993066
"0d8cdbd59325368c80dbefcd1e747962",1,1,6,2,3,"WE","CA",0.54604740166802
"0d9b086f757ec237e379317b4c31780b",1,1,4,2,3,"SC","TX",1.06341078833222
"0d9c335abf44bba3641f2a4a3a451c6f",1,1,5,1,2,"SE","MS",0.636488884790676
"0da54a4303a659e251f2c2ec913ea65e",1,1,5,1,3,"","",0.245182373606338
"0db1900be00a9a2575ee8a17487cae5e",1,1,6,2,3,"WE","AZ",0.54604740166802
"0db8a5d50c6efb29ed23eca48f9748bc",1,1,2,3,3,"NE","PA",0.516389221611446
"0de5864c1285d8c8944ee735a848bca3",1,1,2,3,2,"NE","PA",1.34053682141569
"0de89feaf9504b099347a36bd0210000",1,1,2,1,3,"NE","NY",0.170105572211093
"0e117f67b33d58225a1b58f7d7d5f392",1,1,1,3,2,"","",1.5525754976524
"0e1efafc928a6146142dc7101c02b887",1,1,2,2,3,"NE","PA",0.562385239355018
"0e4be40ece3539590da1d24f813e9360",1,1,3,3,3,"NP","NE",0.553725257158097
"0e6db96471de2d5c5ca1b2b2ebbc3d82",1,1,1,3,3,"GL","MI",0.598068803420894
"0e83e4a2237e59a6cc6169f93725f268",1,1,6,3,1,"WE","CA",3.79248612401336
"0e96f5d3db41a159bcceb57ffa6200d6",1,1,2,1,3,"NE","ME",0.170105572211093
"0eb37b909be052ae5f11fa8b1c2fc444",1,1,1,2,3,"GL","WI",0.651340216035163
"0ee6830ecbbbc77c5abdd4e6d4926846",1,1,4,3,3,"SC","AR",0.976437201427753
"0f0d417a701912d5533e29edf0a267ed",1,1,1,3,2,"GL","OH",1.5525754976524
"0f1358117d66a650ee7d3081f85f7dca",1,1,1,2,3,"GL","IL",0.651340216035163
"0f3b3aceb210510077665d698f29f2b7",1,1,3,1,3,"NP","WY",0.182404565731789
"0f5f63f27c05596ecc2f588f75abdcd3",1,1,6,1,3,"WE","WA",0.165163840042542
"0f8f1dd2c899f91a1b2c5adfc718a578",1,1,3,2,3,"NP","KS",0.603046884503122
"0fa6b6bf1f07e8ac0adbccecc0cb0058",1,1,4,3,2,"SC","AR",2.53481282631979
"0fb6b28e47f8437f67ce4ce8b14ccf6e",1,1,6,2,3,"WE","CA",0.54604740166802
"0fb9af4e88ce16f594a3b7202bea52cb",1,1,1,2,3,"GL","OH",0.651340216035163
"0fe786d9cb1b93915402c7fb1e764938",1,1,2,3,2,"NE","VA",1.34053682141569
"0fe7895bbd5cbfa0d620339a3830166c",1,1,6,2,3,"WE","OR",0.54604740166802
"0feabf4152a80bd42881801f259a18dd",1,1,2,2,3,"NE","PA",0.562385239355018
"0fef3bf10eb8ad7454f0cf2889672d56",1,1,5,3,1,"SE","GA",5.62986879885568
"102912d64ac5132d9cd399cd4438e9f6",1,1,4,3,3,"SC","OK",0.976437201427753
"103472e08849e9ef66126dff03cb1bc0",1,1,2,3,3,"NE","NJ",0.516389221611446
"10404309d9e0e038c5391dd349213b7e",1,1,6,1,3,"","",0.165163840042542
"10479b24815e6eef3047b0701e2b46b5",1,1,5,3,2,"SE","NC",1.93218831993066
"10638499ab5df0c6f2a6bf739d86b7e0",1,1,3,2,2,"NP","MN",1.56549850361658
"106a495bdb0deb232870ad2cfe32c269",1,1,2,1,3,"NE","PA",0.170105572211093
"107e256f157aeb8cd5b327f301bf7623",1,1,2,2,2,"NE","PA",1.45994162857129
"10dab1162bbf8df4c2bd9b5883dee1ed",1,1,4,3,3,"SC","TX",0.976437201427753
"10ed6646399095e5400053f171c6d413",1,1,2,2,3,"NE","NY",0.562385239355018
"1117a3532193fc04cc18375e6fc69dd3",1,1,5,3,3,"SE","MS",0.744299751111666
"111b8f233c426fd52668970b9466708f",1,1,6,1,3,"WE","WA",0.165163840042542
"113edbe2e120c2c3666ee08030f871be",1,1,6,3,2,"WE","WA",1.30159292412056
"1150d17adcbdfe2a97bbd0c04f430ca3",1,1,6,3,2,"WE","WA",1.30159292412056
"11515d42d3c0c7515d3f1669671df7f6",1,1,4,1,3,"SC","AR",0.32165157971102
"115620cf433efc98af6cd88840d4d9ed",1,1,2,2,3,"NE","PA",0.562385239355018
"11a18ccea22b627195a13483f88cc68a",1,1,3,2,3,"NP","KS",0.603046884503122
"11a1b302d5a9e6f1ada89c63a618a587",1,1,4,3,3,"SC","LA",0.976437201427753
"11ba1651e7aa1b70b230b72c03771674",1,1,4,2,3,"SC","TX",1.06341078833222
"11cac3fa3ffbc2bedf6a7c071f42b701",1,1,2,1,3,"NE","PA",0.170105572211093
"1201e9c47e85ed1eef733db132da627c",1,1,4,2,1,"","",8.04361845970833
"121bb0509ca151ad2ed0c5f8119501ab",1,1,4,3,3,"SC","TX",0.976437201427753
"1272ea6997b7a7061cd47e8985e35c18",1,1,4,2,2,"SC","TX",2.76059464138596
"129e8d4f01c2669e1fceaada97d88cc3",1,1,2,3,2,"NE","NH",1.34053682141569
"12d625b2189239635cb476c918ac353e",1,1,1,2,3,"GL","MI",0.651340216035163
"12db607407a5cdde37cba2b2064e243b",1,1,2,3,3,"NE","NY",0.516389221611446
"12de65d1c1d3bd858086543227649418",1,1,3,3,3,"NP","MN",0.553725257158097
"12f92dc49c665cabf0f64a95917757bd",1,1,2,2,3,"NE","NY",0.562385239355018
"1302f76af8f5c6fed9f5e39311002f8e",1,1,1,1,3,"GL","IN",0.197011927766503
"1307bb30e7f3bbfb09dec88ba939c2ad",1,1,2,3,3,"NE","NJ",0.516389221611446
"1346c142dec9c08f3f55f3aca3628686",1,1,3,3,3,"NP","MN",0.553725257158097
"134f27f2503bb2854f522699dabd69bb",1,1,6,2,3,"WE","WA",0.54604740166802
"136855a2e212c0f7a182ce047d869f71",1,1,5,2,3,"SE","TN",0.810596302483973
"136eb703d364dcaf18e7aec198c30c34",1,1,5,2,3,"SE","GA",0.810596302483973
"13730aac3bd34b0ea771ff77c1d8c5a1",1,1,1,2,3,"GL","OH",0.651340216035163
"1396e073c53da3cf383326c5cbdd6039",1,1,3,1,3,"NP","MN",0.182404565731789
"13a516082f041c92ebfef3e1fe11a25b",1,1,1,3,3,"","",0.598068803420894
"13a67a204c54597cd279ebb656613097",1,1,2,3,2,"NE","NJ",1.34053682141569
"13af6486a59223ae16e426def2099d7d",1,1,2,3,2,"NE","NH",1.34053682141569
"13bb4d07998216dd92b28c22437c940b",1,1,4,2,3,"SC","TX",1.06341078833222
"13eb0a0d758a196074b00c5f81fd096b",1,1,5,2,3,"SE","FL",0.810596302483973
"13f176445642d3fa064f1a2f6def0a25",1,1,1,3,3,"GL","OH",0.598068803420894
